Book_title,Book_Author,Book_Tag,Challenged
Anna and the French Kiss,Stephanie Perkins,"Romance, Young Adult, Contemporary, Fiction, Chick Lit, Realistic Fiction, Contemporary Romance",0
The Selection,Kiera Cass,"Romance, Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Audiobook",0
Beautiful Disaster,Jamie McGuire,"Romance, New Adult, Contemporary, Young Adult, Contemporary Romance, College, Fiction",0
The Last Battle,C.S. Lewis,"Fantasy, Fiction, Classics, Young Adult, Childrens, Christian, Adventure",0
Hex Hall,Rachel Hawkins,"Young Adult, Fantasy, Paranormal, Magic, Romance, Vampires, Witches",0
School Monitor,Alex Dunn,"Young Adult, Mystery, Contemporary, Thriller, Suspense",0
The Lightning Thief,Rick Riordan,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology",0
Fateful,Claudia Gray,"Young Adult, Paranormal, Historical Fiction, Romance, Fantasy, Werewolves, Historical",0
Stargirl,Jerry Spinelli,"Young Adult, Fiction, Contemporary, Realistic Fiction, Romance, Middle Grade, Childrens",0
The Van Alen Legacy,Melissa de la Cruz,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Angels, Supernatural",0
The Silver Chair,C.S. Lewis,"Fantasy, Fiction, Classics, Young Adult, Childrens, Christian, Adventure",0
The False Princess,Eilis O'Neal,"Fantasy, Young Adult,  Middle Grade, Adventure, Fiction, Young Adult Fantasy, Mystery",0
Hourglass,Claudia Gray,"Young Adult, Vampires, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural",0
Steelheart,Brandon Sanderson,"Fantasy, Young Adult, Science Fiction, Dystopia, Fiction, Urban Fantasy, Superheroes",0
Tithe,Holly Black,"Fantasy, Young Adult, Urban Fantasy, Fae, Fiction, Romance, Paranormal",0
The Avery Shaw Experiment,Kelly Oram,"Young Adult, Romance, Contemporary, High School, Chick Lit, Humor, Contemporary Romance",0
Stargazer,Claudia Gray,"Young Adult, Vampires, Fantasy, Paranormal, Romance, Paranormal Romance, Supernatural",0
Red Queen,Victoria Aveyard,"Fantasy, Young Adult, Dystopia, Romance, Fiction, Young Adult Fantasy, Magic",0
Scarlet,Marissa Meyer,"Fantasy, Young Adult, Science Fiction, Romance, Retellings, Dystopia, Fiction",0
Watership Down,Richard  Adams,"Classics, Fiction, Fantasy, Young Adult, Animals, Childrens, Adventure",0
Holes,Louis Sachar,"Young Adult, Fiction, Middle Grade, Childrens, Classics, Realistic Fiction, School",0
Glimmerglass,Jenna Black,"Fantasy, Young Adult, Paranormal, Fae, Fairies, Romance, Urban Fantasy",0
Charlie and the Chocolate Factory,Roald Dahl,"Fiction, Fantasy, Childrens, Classics, Young Adult, Middle Grade, Humor",0
Fablehaven,Brandon Mull,"Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Adventure, Magic",0
"I'd Tell You I Love You, But Then I'd Have to Kill You ",Ally Carter,"Young Adult, Romance, Mystery, Contemporary, Fiction, Espionage, Adventure",0
The Maze Runner,James Dashner,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Adventure, Mystery",0
Just Listen,Sarah Dessen,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen",0
Everlasting,Alyson Noel,"Young Adult, Fantasy, Paranormal, Romance, Paranormal Romance, Supernatural, Magic",0
Beauty Queens,Libba Bray,"Young Adult, Contemporary, Humor, Fiction, Audiobook, LGBT, Adventure",0
Brightly Woven,Alexandra Bracken,"Fantasy, Young Adult, Romance, Magic, Adventure, High Fantasy, Young Adult Fantasy",0
Inside Out,Maria V. Snyder,"Young Adult, Dystopia, Science Fiction, Fantasy, Romance, Fiction, Teen",0
The Sphinx Project,Kate Hawkings,"Dystopia, Young Adult, Science Fiction, Zombies, Paranormal, Fantasy, Horror",0
The Rise of Nine,Pittacus Lore,"Young Adult, Fantasy, Science Fiction, Fiction, Aliens, Adventure, Paranormal",0
The Thief,Megan Whalen Turner,"Fantasy, Young Adult, Fiction, Adventure, Historical Fiction, Young Adult Fantasy, High Fantasy",0
A Wizard of Earthsea,Ursula K. Le Guin,"Fantasy, Fiction, Young Adult, Classics, Science Fiction Fantasy, Magic, High Fantasy",0
The King of Attolia,Megan Whalen Turner,"Fantasy, Young Adult, Fiction, Adventure, Romance, Young Adult Fantasy, High Fantasy",0
Foundation,Isaac Asimov,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Space Opera, Novels",0
Linger,Maggie Stiefvater,"Young Adult, Fantasy, Romance, Paranormal, Werewolves, Fiction, Paranormal Romance",0
The Fallen Star,Jessica Sorensen,"Paranormal, Young Adult. Fantasy, Romance, Vampires, Paranormal Romance, Magic",0
It's Not Summer Without You,Jenny Han,"Romance, Young Adult, Contemporary, Fiction, Audiobook, Chick Lit, Realistic Fiction",0
Blood and Chocolate,Annette Curtis Klause,"Young Adult, Fantasy, Romance, Paranormal, Werewolves, Urban Fantasy, Fiction",0
The Princess Diaries,Meg Cabot,"Young Adult, Romance, Fiction, Contemporary, Chick Lit, Teen, Childrens",0
