Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Branfman, Johnathan","You Be You! The Kid's Guide to Gender, Sexuality, and Family",,,,,,,Challenged - Location Unknown,moved from children's collection to parenting collection and will be located next to the reference desk.,Reshelved,Yes,Restricted to Parents,Public,,,Arkansas,,,,,Jonesboro Craighead County Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Speak,,,,,Informal Challenge,Parent,Challenged - No other information,,,,,School ,October,2022,California,Siskiyou Union High School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,,"Forney, Ellen",,Informal Challenge,Parent,Challenged - No other information,,,,,School ,October,2022,California,Siskiyou Union High School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book is Gay,,,,,,,,,Banned,,,School ,September,2022,California,William S. Hart Union High School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book is Gay,,,,,,,,,Banned,,,School ,September,2022,California,William S. Hart Union High School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,How I Resist,,,,,,,,,Retained,,,School ,November,2022,Colorado,Academy District 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steal This Country,,,,,,,Challenged - Location Unknown,,,,,School ,November,2022,Colorado,Academy District 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Carol","We Are Not Your Equal: Understanding 
Our Racial Divide",,,,,,,Challenged - Location Unknown,,,,,School ,November,2022,Colorado,Academy District 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,Internal Review From Library,,Challenged - Removed While Under Review,,,,,School ,September,2022,Colorado,Cherry Creek School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,,,,,Internal Review From Library,,Challenged - Removed While Under Review,,,,,School ,September,2022,Colorado,Cherry Creek School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moen, Erika","Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)",,,,,Internal Review From Library,,Challenged - Removed While Under Review,Sex Ed Book Pulled From Cherry Creek School LLibraries after parent complaint,,,,School ,September,2022,Colorado,Cherry Creek School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,x,,,,,Challenged - Location Unknown,,Banned,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Katcher, Brian",Almost Perfect,,,,,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",Beloved,,,,,,,Challenged - Location Unknown,,Retained Restricted,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
