Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,Informal Challenge,,,,N/A,,,Public,September,2022,New Hampshire,,,Rochester,,"Dover Public Library
Rochester Public Library",,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,,,,,Retained,,,Public,September,2022,New Hampshire,,,Rochester,,Dover Public Library and Rochester Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer,,,,,Informal Challenge,,,,N/A,,,Public,September,2022,New Hampshire,,,Rochester,,"Dover Public Library
Rochester Public Library",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer,,,,,,,,,Retained,,,Public,September,2022,New Hampshire,,,Rochester,,Dover Public Library and Rochester Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Rowan",Here and Queer,,,,,Informal Challenge,,,,N/A,,,Public,September,2022,New Hampshire,,,Rochester,,"Dover Public Library
Rochester Public Library",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Rowan",HEre and Queer,,,,,,,,,Retained,,,Public,September,2022,New Hampshire,,,Rochester,,Dover Public Library and Rochester Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moen, Erika","Let's Talk About it: The Teens Guide to Sex, Relationships, and Being a Human",,,,,,,,,Retained,,,Public,September,2022,New Hampshire,,,Rochester,,Dover Public Library and Rochester Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nolan, Matthew and Erika Moen","Let's Talk About it: The Teens Guide to Sex, Relationships, and Being a Human",,,,,Informal Challenge,,,,N/A,,,Public,September,2022,New Hampshire,,,Rochester,,"Dover Public Library
Rochester Public Library",,,,,,,,,,,,,,,,,,,,,,,,,,
"Albertalli, Becky",The Upside of Unrequited,Simonverse Series,,,,,,Challenged - Location Unknown,,Retained Restricted,,,School ,February,2023,New Jersey,Sparta Township Public Schools,,,,,,,,https://www.njherald.com/story/news/local/2023/02/24/the-upside-of-unrequited-removed-from-sparta-nj-middle-school-library/69936751007/?utm_source=pocket_reader,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",The Bluest Eye,,,,,,,Challenged - Location Unknown,,Removed - Curriculum,,,School ,November,2022,New Jersey,Washington Township High School,,,,,,,,news article from NEXIS in files,,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,,,,Appealed all the way to the board - hearing FEB 2023,,,,Public,October,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Rowan and Jacky Sheridan",HEre and Queer,,,,,,,,Appealed all the way to the board - hearing FEB 2023,,,,Public,October,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haris, Robie","It's not the Stork! A Book about Girls, Boys, Babies, Bodies, Families, and Friends",,,,,,,,Appealed all the way to the board - hearing FEB 2023,,,,Public,October,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haris, Robie","It's Perfectly Normal: Changing Bodies, Growing Up Sex and Sexual Health",,,"Embry, Michael",,,,,Appealed all the way to the board - hearing FEB 2023,,,,Public,October,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moen, Erika","Let's Talk About it: The Teens Guide to Sex, Relationships, and Being a Human",,,,,,,,,,,,Public,December,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book Is Gay,,,,,,,,Appealed all the way to the board - hearing FEB 2023,,,,Public,October,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silverberg, Cory and Fiona Smyth","You Know, Sex",,,,,,,,Appealed all the way to the board - hearing FEB 2023,,,,Public,October,2022,New Jersey,,,Glen Ridge,,Glen Ridge Library,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Miss Hot Mess,If You're a Drag Queen and You Know It,,"Ruiz, Olga De Dios",,,Formal Challenge,Community Member,Challenged - On Shelves,"Request from patron to remove book. Said that the enire theme was not age appropriate. Also wans the library to stop putting ""other LGBTQ books and ""paraphernalia such as political Pride Booksmarks"" in the children's section. Said: ""The library should not be soliciting everyone's children like this as it underminds parental authority and the religious beliefs of many in the community."" Library reviewed and kept on shelves. Is being appealed to board.",Retained,,,Public,April ,2023,New Mexico,,Los Alamos,,,Mesa Public Library,,,4/9/23,https://losalamosreporter.com/2023/04/02/library-board-to-hear-request-for-lgbtq-pride-materials-not-to-be-displayed-in-childrens-section-of-library/,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,"Board upheld the decision/Recommendation of the Superintendent and a review book. From Article: “The subject matter of this book literally could save the life of a gender non-conforming teenager who might feel a sense of comfort knowing they are not alone in how they view the world around them,” he said. 

Board member Julia Routbort Baskin said the book can speak to many students, including anyone who has been uncomfortable with their body.

“While I understand and appreciate the concerns about the explicit sexual content that is in some pages of the book, to cherry pick that out of the many pages of the book I think does the book a disservice and I think our high school students are more than mature enough to handle this kind of content,” she said.",Retained,,,School ,April,2023,New York,Ballston Spa Central School District,,,,,,On Shelves,4/22/23,https://dailygazette.com/2023/04/21/gender-queer-book-to-stay-in-ballston-spa-high-school-library/,https://dailygazette.com/2023/04/18/ballston-spa-school-board-expected-to-vote-to-keep-lgbtq-themed-book/,https://dailygazette.com/2023/04/21/gender-queer-book-to-stay-in-ballston-spa-high-school-library/,,,,,,,,,,,,,,,,,,,,
"Saad, Layla",Me and White Supremacy,,,,,,,,,Banned,,,School ,November,2022,New York,Lincolndale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,,,,,,,,,Retained Restricted,Yes,,School ,September,2022,New York,Washingtonville Central School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer,,,,,,,Challenged - On Shelves,,,,,School ,February,2023,New York,Wellsville Schools,,,,,,,,https://www.oleantimesherald.com/news/debate-over-book-gender-queer-reaches-wellsville-school-board/article_11dae614-1f1d-5b60-ad15-08cea107df70.html,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,,,,,,,,,Banned,,,School ,September,2022,North Carolina,Alamance-Burlinton School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russell, Rachel Renee",Dork Diaries: Tales from a Not So Fabulous Life,,,,,,,,,Weeded,,,School ,Fall,2022,North Carolina,Charlotte-Mecklenburg Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaty, Daniel","Knock, Knock: My Dad's Dream for Me",,,,,,,Challenged - On Shelves,,,,,School ,Fall,2022,North Carolina,Charlotte-Mecklenburg Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",The Art of Racing in the Rain,,,,,,,,,Retained,,,School ,Fall,2022,North Carolina,Charlotte-Mecklenburg Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbott, David",The Twin Towers,,,,,,,,,Banned,,,School ,Fall,2022,North Carolina,Charlotte-Mecklenburg Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,"Lukashevsky, Ashkley",,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Retained Restricted,Yes,Restricted to HS,School ,April,2023,North Carolina,Cumberland County Schools,,,,,,On Shelves,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Retained Restricted,Yes,Restricted to HS,School ,April,2023,North Carolina,Cumberland County Schools,,,,,,On Shelves,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Àbíké-Íyímídé, Faridah",Ace of Spades,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Katcher, Brian",Almost Perfect,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Kendi, Ibram X.",Antiracist Baby,,,"Lukashevsky, Ashkley",,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Sáenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Retained,Yes,Restricted to MS and HS,School ,April,2023,North Carolina,Cumberland County Schools,,,,,,On Shelves,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",Beloved,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Atta, Dean",Black Flamingo,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Hillstrom, Laurie Collier",Black Lives Matter: From a Moment to a Movement,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Draper, Sharon M.",Blended,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Blacker, Terence",Boy2Girl,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Miller, J. P.",Brave Leaders and Activists,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Thomas, Aiden",Cemetery Boys,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Crank,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",Damsel,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Khorram, Adib",Darius the Great Deserves Better,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Philippe-Stassen, Jean",Deogratias: A Tale of Rwanda,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Still in Process,,,School ,April,2023,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Burgess, Melvin",Doing It,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
"Telgemeier, Raina",Drama: A Graphic Novel,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed from the shelves, but they were removed from the digital search catalog. In April 2023, the District Media Services coordinator said they assessed 84 books; removed 2; 2 remained under review and 6 redistributed to appropriate grade levels. These books were not ""physically removed"" from the shelves per district spokepeople, but were ""temporarily removed from the digital catalog"" while under review.",Unknown,,,School ,November,2022,North Carolina,Cumberland County Schools,,,,,,Unknown,4/22/23,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,,,,,,,,,,,,,,,,,,,
