Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Wittlinger, Ellen",Saturdays with Hitchcock,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Rainfield, C. A.",Scars,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Knowles, Jo",See you at Harry's,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Tonatiuh, Duncan",Separate is never equal,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bailey, Jacqui.","Sex, puberty, and all that stuff : a guide to growing up",,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Myracle, Lauren",Shine,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Anderson, Laurie Halse",Shout,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Albertalli, Becky",Simon vs. the Homo Sapiens agenda,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Sanchez, Alex",So hard to say,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Oluo, Ijeoma",So you want to talk about race,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Andrews, Arin",Some assembly required : the not-so-secret life of a transgender teen,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"James, Rory",Some girls bind,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Daniels, April",Sovereign,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Walden, Tillie",Spinning,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Gillman, Melanie",Stage dreams,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Jacobson, Jennifer",Stained,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Kendi, Ibram X.",Stamped from the beginning : the definitive history of racist ideas in America,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Crutcher, Chris",Staying fat for Sarah Byrnes,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Garvin, Jeff",Symptoms of being human,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Floreen, Tim",Tattoo Atlas,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Hudson, David L.",Teen legal rights,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Farizan, Sara",Tell me again how a crush should feel,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Franklin, Emily",Tessa Masterson will go to prom,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Slater, Dashka",The 57 Bus,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
Lynette Knapp,The Abortion controversy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Williamson, Lisa",The art of being normal,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Peck, Richard",The best man,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Atta, Dean",The Black Flamingo,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Johnson, Cathy G.",The Breakaways,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Konigsberg, Bill",The bridge,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Irving, John",The cider house rules,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Styron, William",The confessions of Nat Turner,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
Al Desetta,"The courage to be yourself : true stories by teens about cliques, conflicts, and overcoming peer pressure",,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Smith, Niki",The deep & dark blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Herman, Christine Lynn",The devouring gray,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Lee, Stacey",The downstairs girl,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"George, Elizabeth",The edge of the water,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
Jacqueline L. Longe,The Gale encyclopedia of medicine,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Karcz, Lauren",The gallery of unfinished girls,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Sharpe, Tess",The girls I've been,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Stamper, Phil",The gravity of us,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Federle, Tim",The great American whatever,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Villasante, Alexandra",The grief keeper,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Atwood, Margaret Adapted by Renee Nault",The Handmaid's Tale: The Graphic Novel,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Woodson, Jacqueline",The house you pass on the way,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Harmon, Michael B.",The last exit to normal,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Vaughan, Brian K.",The Last Man,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Smith, Amber",The Last to Let Go,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Khan, Sabina",The love & lies of Rukhsana Ali,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Talley, Robin",The love curse of Melody McIntyre,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Dietrich, Cale",The Love Interest,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Trung, Le Nguyen",The magic fish,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Blake, Ashley Herring",The Mighty Heart of Sunny St. James,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"De Medeiros, James",The migration north,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Salazar, Aida",The moon within,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Konigsberg, Bill",The music of what happens,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Alexander, Michelle",The new Jim Crow : mass incarceration in the age of colorblindness,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Hennessey, M. G.",The other boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Clarke, Cat",The pants project,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Hutchinson, Shaun David",The past and other things that should stay buried,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bell, Alex",The Polar Bear Explorers' Club,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Clare, Cassandra",The red scrolls of magic,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bean, Lexie",The ship we built,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bick, Ilsa J.",The sin eater's confession,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Petrus, Junauda",The stars and the blackness between them,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Spalding, Amy",The summer of Jordi Perez (and the best burger in Los Angeles),,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Finneyfrock, Kare",The sweet revenge of Celia Door,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Albertalli, Becky",The upside of unrequited,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Mac, Carrie",The way back,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Madaras, Lynda",The what's happening to my body? book for boys,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Madaras, Lynda",The what's happening to my body? book for girls : a growing-up guide for parents and daughters,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Howard, Greg",The whispers,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Hopkins, Ellen",The you I've never known,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Silvera, Adam",They both die at the end,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bartoletti, Susan Campbell",They called themselves the K.K.K. : the birth of an American terrorist group,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Jewell, Tiffany","This book is anti-racist : 20 lessons on how to wake up, take action, and do the work",,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Callender, Kacen",This is kind of an epic love story,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bridges, Ruby",This is your time,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Tamaki, Mariko and Jillian Tamaki",This One Summer,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Jones, Carrie",Tips on having a gay (ex) boyfriend,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"McBride, Sarah","Tomorrow will be different : love, loss, and the fight for trans equality",,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Howe, James",Totally Joe,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bertie, Alex",Trans mission : my quest to a beard,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Klein, Rebecca T.",Transgender rights and protections,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Hendriks, Jenni",Unpregnant,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Córdova, Zoraida",Wayward witch,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Hutchinson, Shaun David",We are the ants,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Plum-Ucci, Carol",What happened to Lani Garver,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Albertalli, Becky",What if it's us,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Nichols, Hedreich",What is the Black Lives Matter movement?,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"McIntosh, Kenneth",When religion & politics mix : how matters of faith influence political policies,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"McLemore, Anna-Marie",When the moon was ours,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Khan-Cullors, Patrisse",When they call you a terrorist : a story of Black Lives Matter and the power to change the world,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Wersba, Barbara",Whistle me home,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Green, John","Will Grayson, Will Grayson",,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Floreen, Tim",Willful machines,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Aaseng, Nathan",You are the Supreme Court justice,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Bunker, Lisa",Zenobia July,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Texas,McKinney,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,Was at Middle school - Claimed CRT,Unknown,,,School ,,,Pennsylvania,North Penn High School,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Pennsylvania,York,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,South Carolina,Fort Mill,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Administrative Review,Administration,Challenged - Not in District/School or library institution,Never in libraries - mistaken identity,Unknown,,,School ,,,Texas,Bastrop,,,,,Unknown,,,,,,
"Rowell, Rainbow",Eleanor & Park,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,February,2022,Tennessee,Metropolitan Nashville Public Schools,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,newspaper had to do an open records request to get the book list,Unknown,,,School ,,,Texas,Lamar Consolidated ISD,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Restricted to Grade 11/12 Classroom Libraries and High School Libraries,School ,,,Texas,Leander,,,,,Unknown,,,20.21 Leander Curr Review RESULTs for 21.22,,,
"Evison, Jonathan",Lawn Boy,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,NEISD Folder,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Evison, Jonthan",Lawn Boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Plano,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,Removed before complaint,Banned,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Unclear,Administration,Challenged - Location Unknown,Superintendent started district conversation after Krause/Abbott press statements in Fall 2021,Removed,,,School ,,,Texas,Tyler ISD,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,Removed pending challenge in violation of district policy,Retained,,,School ,,,Virginia,Fairfax County,,,,,Unknown,,,Back on shelves 11/21,,,
"Evison, Jonathan",Lawn Boy,,,,,Administrative Review,Board Member,Challenged - Removed While Under Review,displays pedophilia in a scene with an adult and 10-year-old boy touching each others genitals and performing oral sex,Unknown,,,School ,,,Virginia,Virginia Beach,,,,,Unknown,,,,,,
"Albertalli, Becky",Leah on the Off Beat,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,committee said was okay to say,Banned,,,School ,,,Idaho,Nampa School District,,,,,Unknown,,,,,,
"Albertalli, Becky",Leah on the Offbeat,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
,Leah on the Offbeat,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Committee recommends no change and all resources/books should remain in the library,Unknown,,,School ,,,Pennsylvania,Littlestown Area School District,,,,,Unknown,,,,,,
"Albertalli, Becky",Leah on the Offbeat,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Thomas, Angie",The Hate U Give,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,RETAINED for curriculum 5-0,Retained,,,School ,February,2022,Colorado,Monte Vista School District,,,,,Unknown,,,,,,
"Albertalli, Becky",Leah on the Offbeat,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Middle School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Jackson, Tiffany D.",Let Me Hear A Rhyme,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RESTRICT WITH PERMISSION HS (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
"Moen, Erika","Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human",,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,2022-23 school year,Unknown,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"Kann, Claire",Let's talk about love,,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Kann, Claire",Let's talk about love,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Currie-McGhee,
 L. K.",LGBT families,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Apelqvist, Eva","LGBTQ families : the
 ultimate teen guide",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Cronn-Mills,
 Kirstin","LGBTQ+ athletes claim the
 field : striving for equality",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Peters, Julie Anne",Lies my girlfriend told me,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Worth, Richard","Life at school and in the
 community",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Keil, Melissa",Life in outer space,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Frank, ER",Life is Funny,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,After Complaint,Removed,,,School ,,,North Carolina,Moore County Schools,,,,,Unknown,,,,,,
"Green, Katie",Lighter Than My Shadow,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,2022-23 school year,Unknown,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"Green, Katie",Lighter Than My Shadow,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,,,Pennsylvania,Eastern Lancaster County School District,,,,,Unknown,,,,,,
"Saenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school. 

School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School ,November,2021,Utah,Murray City School District,,,,,Unknown,,,,,,
"Lauren, Christina",Autoboyography,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school. 

School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School ,November,2021,Utah,Murray City School District,,,,,Unknown,,,,,,
"Sanchez, Alex",Bait,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school. 

School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School ,November,2021,Utah,Murray City School District,,,,,Unknown,,,,,,
"Reed, Amy",Beautiful,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school. 

School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School ,November,2021,Utah,Murray City School District,,,,,Unknown,,,,,,
"Jennings, Jazz.",Being Jazz - My Life as a (Transgender) Teen,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,"Sent in 11/21 note to school. 

School wanted individual complaints per book - no response from parent, online ""outrage""",N/A,,,School ,November,2021,Utah,Murray City School District,,,,,Unknown,,,,,,
