Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Group,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Removed - in principals office,School ,,,Texas,Waller,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Utah,Davis School District,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Administrative Review,Board Member,Challenged - Removed While Under Review,Contains sexually explicit language,Unknown,,,School ,,,Virginia,Virginia Beach,,,,,Unknown,,,,,,
"Vaid-Menon, Alok",Beyond the Gender Binary,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,Status of Book Unknown,Unknown,,,School ,,,Georgia,Forsyth County Schools,,,,,Unknown,,,,,,
,Beyond The Gender Binary,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Kansas,Shawnee Heights Unified School District 450,,,,,Unknown,,,,,,
"Vaid-Menon, Alok",Beyond the Gender Binary,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Higgins, MG",Bi Normal,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Minnesota,Wayzata Public Schools,,,,,Unknown,,,Letter: Wayzata School Board Member's Discomfort over book is troubling,,,
"Stevenson, Robin",Big guy,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Franklin, Tee, St. Onge Jenn, and Joy San",Bingo Love,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,2022-23 school year,Unknown,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"Franklin, Tee",Bingo Love #1,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, and Who Decides",,,,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Altman, Linda  Jacobs","Bioethics: Who Lives, Who Dies, and Who Decides",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Espejo, Roman",Birth Control,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,removed while under investigation.,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Russo, Meredith",Birthday: A Novel,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,Removed/Banned,Banned,,,School ,August,2022,Michigan,Davison Community Schools,,,,,Unknown,,,,,,
